,title,state,count,med,avg_med,sum_count,sum_med
31,Dir Sales,CA,1,26250.0,26250.0,1,26250.0
32,"Executive Director, Head of Clinical Data Management",CA,1,25504.0,25504.0,1,25504.0
33,AppDynamics Enterprise Sales Representative - NYC,NY,1,25308.0,25308.0,2,50616.0
34,AppDynamics Enterprise Sales Representative - NYC,CT,1,25308.0,25308.0,2,50616.0
35,"Director, Analytics - Underwriting",CA,1,25000.0,25000.0,1,25000.0
36,"Manager, Analytics - Underwriting",CA,1,25000.0,25000.0,1,25000.0
37,"SVP, Group Director, Digital Strategy & Analytics",CA,1,25000.0,25000.0,1,25000.0
38,Tax Director,IL,1,25000.0,25000.0,1,25000.0
39,Chief Development Officer ,,1,24583.0,24583.0,1,24583.0
40,"Director, Audio and Podcast Advertising, Twitch Advertising",WA,1,24479.0,24479.0,1,24479.0
41,Storage Sales Specialist,CA,1,24425.0,24425.0,1,24425.0
42,Associate Medical Director,,1,24000.0,24000.0,1,24000.0
43,"Director of Engineering, Growth",,1,24000.0,24000.0,1,24000.0
44,S/4HANA Public Cloud Enterprise Architect - West,CA,1,23966.0,23966.0,1,23966.0
45,"Senior Manager - Maintenance Engineering, Maps",CA,1,23958.0,23958.0,1,23958.0
46,Trial Attorney,WA,1,23958.0,23958.0,2,23958.0
47,Trial Attorney,ME,1,,23958.0,2,23958.0
48,"Psychiatrist, Principal Investigtor",FL,1,23750.0,23750.0,1,23750.0
49,Recruiting Coordinator,CA,1,23750.0,23750.0,2,23750.0
50,Recruiting Coordinator,FL,1,,23750.0,2,23750.0
51,"AIML - Senior Data Infrastructure Software Engineer, Machine Learning Platform and Technology",CA,1,23495.0,23495.0,1,23495.0
52,Medical Department Head,TN,1,23333.0,23333.0,1,23333.0
53,VP Product Management - Databases,,1,23250.0,23250.0,1,23250.0
54,Emergency Veterinarian,CA,1,22916.0,22916.0,1,22916.0
55,President TOA Global - North America,TX,1,22916.0,22916.0,1,22916.0
56,"Regional Managing Director, Post War & Contemporary Art",NY,1,22916.0,22916.0,1,22916.0
57,Growth Sales Account Manager - Iowa,IA,1,22654.0,22654.0,1,22654.0
58,Accelerated Path to Management ,TX,1,22574.0,22574.0,1,22574.0
59,Chief Financial Officer – Private Equity,CA,1,22500.0,22500.0,1,22500.0
60,"Psychiatrist 2, Children and Youth, Rockland Children's Psychiatric Center, Orange BOCES, P24396",NY,1,22444.0,22444.0,1,22444.0
61,"Director, Customer Engineering, Apigee, Google Cloud",WA,2,22416.0,22416.0,6,112080.0
62,"Director, Customer Engineering, Apigee, Google Cloud",UT,1,22416.0,22416.0,6,112080.0
63,"Director, Customer Engineering, Apigee, Google Cloud",OR,1,22416.0,22416.0,6,112080.0
64,"Director, Customer Engineering, Apigee, Google Cloud",NY,1,22416.0,22416.0,6,112080.0
65,"Director, Customer Engineering, Apigee, Google Cloud",GA,1,22416.0,22416.0,6,112080.0
66,Head of Internal Audit,CA,1,22137.0,22137.0,1,22137.0
67,"AI Consultant, Google Cloud",WA,1,22083.0,22083.0,4,66249.0
68,"AI Consultant, Google Cloud",IL,1,22083.0,22083.0,4,66249.0
69,"AI Consultant, Google Cloud",CA,2,22083.0,22083.0,4,66249.0
70,"Senior Counsel, Employment",CA,1,22083.0,22083.0,1,22083.0
71,"Senior Director, Field Marketing (Global)",NY,1,22041.0,22041.0,1,22041.0
72,Platform Cloud and Data Infrastructure Architect (Cyber Security) (Remote),CA,1,21908.0,21908.0,1,21908.0
73,Senior Vice President of Sales,,1,21875.0,21875.0,1,21875.0
74,remote Salesperson,,1,21875.0,21875.0,1,21875.0
75,Growth Sales Account Manager - US Public Sector - Houston (1408242),TX,1,21845.0,21845.0,1,21845.0
76,Psychiatrist,PA,1,36000.0,21666.0,4,57666.0
77,Director of Women's Health,NY,1,21666.0,21666.0,1,21666.0
78,Psychiatrist,UT,1,21666.0,21666.0,4,57666.0
79,Psychiatrist,RI,1,,21666.0,4,57666.0
80,Psychiatrist,,1,,21666.0,4,57666.0
81,"Technical Program Manager Lead, CPU",TX,1,21416.0,21416.0,2,42832.0
82,"Technical Program Manager Lead, CPU",CA,1,21416.0,21416.0,2,42832.0
83,Digital Experiences Analytics Senior Manager,NY,1,21404.0,21404.0,1,21404.0
84,Director of Growth Product,,1,21166.0,21166.0,1,21166.0
85,Family Physician,CA,1,20958.0,20958.0,1,20958.0
86,Business Development Manager - Gene Editing for Therapeutics,CA,1,20866.0,20866.0,1,20866.0
87,"Director, Machine Learning Platform",,1,20833.0,20833.0,1,20833.0
88,Locum Anesthesiologist,NY,1,20833.0,20833.0,3,41666.0
89,Locum Anesthesiologist,CA,2,20833.0,20833.0,3,41666.0
90,Locum CRNA,CA,1,20833.0,20833.0,1,20833.0
91,ML Compiler ,,1,20833.0,20833.0,1,20833.0
92,Principal MLOps Engineer,,1,20833.0,20833.0,1,20833.0
93,Project Manager - Pepco,DC,1,20833.0,20833.0,1,20833.0
94,ServiceNow Platform Architect,NY,1,20833.0,20833.0,2,20833.0
95,Special Situations Analyst,NJ,1,20833.0,20833.0,1,20833.0
96,Vice President of Service Delivery,CO,1,20833.0,20833.0,1,20833.0
97,"Vice President, Tech Frontline Risk and Controls",NY,1,20833.0,20833.0,1,20833.0
98,ServiceNow Platform Architect,,1,,20833.0,2,20833.0
99,Senior Director - Market Access - National Accounts - UHG / OPTUM RX / UHC,NJ,1,20815.0,20815.0,1,20815.0
100,Data Engineering Product Lead (Hybrid),PA,1,20747.0,20747.0,1,20747.0
101,"Associate Vice President (AVP), Strategic Media & Channel Marketing",NY,1,20625.0,20625.0,1,20625.0
102,Software Engineering Sr Manager/Director/Senior Director,CA,2,20575.0,20575.0,2,20575.0
103,Senior Counsel I - GTAL HIV Prevention,CA,1,20531.0,20531.0,1,20531.0
104,"Family Practice-Without OB Physician - $230,000/yearly - $260,000/yearly",TN,1,20416.0,20416.0,1,20416.0
105,Digital Presales Specialist Solution Advisor,MA,1,20195.0,20195.0,1,20195.0
106,"HR Business Partner, Go To Market and Sales",CA,1,20000.0,20000.0,1,20000.0
107,"Director of Product, Risk/Compliance",CA,1,19962.0,19962.0,1,19962.0
108,"Vice President, Chief of Staff to the Chief Legal Officer",NY,1,19833.0,19833.0,1,19833.0
109,Director of Consulting - Automotive Retail Performance Optimization,NY,1,19791.0,19791.0,1,19791.0
110,Director of Lifecycle Marketing,,1,19791.0,19791.0,1,19791.0
111,"Safety Physician, Global Safety Lead- 578165 ",,1,19791.0,19791.0,1,19791.0
112,Battery Electrochemical Modeling Lead Engineer,CA,1,19620.0,19620.0,1,19620.0
113,Business Information Security Officer - GCS,MA,2,19616.0,19616.0,2,19616.0
114,"Director/Senior Director/Executive Director, Medical Affairs - Cardiovascular",,1,19583.0,19583.0,1,19583.0
115,"Principal Applied Scientist, AWS Marketing",WA,1,19520.0,19520.0,1,19520.0
116,"Software Engineering Manager II, Google Cloud Unified Fulfillment Optimization",WA,2,19500.0,19500.0,3,39000.0
117,"Software Engineering Manager II, Google Cloud Unified Fulfillment Optimization",CA,1,19500.0,19500.0,3,39000.0
118,"Staff Connectivity Security Researcher, Google Pixel",IL,1,19500.0,19500.0,4,58500.0
119,"Staff Connectivity Security Researcher, Google Pixel",GA,1,19500.0,19500.0,4,58500.0
120,"Staff Connectivity Security Researcher, Google Pixel",CA,2,19500.0,19500.0,4,58500.0
121,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",WA,1,19500.0,19500.0,4,78000.0
122,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",PA,1,19500.0,19500.0,4,78000.0
123,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",NY,1,19500.0,19500.0,4,78000.0
124,"Staff Software Engineer, Google Cloud Unified Fulfillment Optimization",CA,1,19500.0,19500.0,4,78000.0
125,"Staff Software Engineer, Infrastructure, Google Cloud Application Modernization",WA,1,19500.0,19500.0,1,19500.0
126,"Staff Software Engineer, Infrastructure, Google Cloud Security and Privacy",CA,1,19500.0,19500.0,1,19500.0
127,"Technical Lead, Networking, Pixel Connectivity",IL,1,19500.0,19500.0,3,58500.0
128,"Technical Lead, Networking, Pixel Connectivity",GA,1,19500.0,19500.0,3,58500.0
129,"Technical Lead, Networking, Pixel Connectivity",CA,1,19500.0,19500.0,3,58500.0
130,Senior Software Engineer Infrastructure System Lab,CA,1,19458.0,19458.0,1,19458.0
131,"Senior Manager PM-T, Commerce Platform",WA,1,19425.0,19425.0,1,19425.0
132,"Director/Senior Director, CMC",CA,1,19291.0,19291.0,1,19291.0
133,Director Biostatistics,NY,1,19166.0,19166.0,1,19166.0
134,Head of Engineering,WA,1,19166.0,19166.0,2,19166.0
135,SENIOR IRRBB Manager,NY,1,19166.0,19166.0,1,19166.0
136,Head of Engineering,NJ,1,,19166.0,2,19166.0
137,Remote - Head of Core Platforms - VP,,1,19129.0,19129.0,1,19129.0
138,Senior Director Process Engineer,CA,1,19000.0,19000.0,1,19000.0
139,Talent & Productivity Program Management Director,CA,1,19000.0,19000.0,1,19000.0
140,"Manager, Core Firmware Validation",CA,1,18916.0,18916.0,1,18916.0
141,SMTS - DEG HBM Design,CA,1,18916.0,18916.0,1,18916.0
142,Lead Principal Engineer Analog Design,CA,1,18857.0,18857.0,1,18857.0
143,"Business Analysis Specialist, A Global Brokerage Platform",NY,1,18750.0,18750.0,1,18750.0
144,CPU Architect,CA,1,18750.0,18750.0,1,18750.0
145,"Crocs Inc: Sr. Director, eCommerce Product Management",MA,1,18750.0,18750.0,1,18750.0
146,General Manager- Head of Consumer Products,NY,1,18750.0,18750.0,1,18750.0
147,Lead DevOps Engineer ,,1,18750.0,18750.0,1,18750.0
148,Medical Director/Attending Physician,OH,1,18750.0,18750.0,1,18750.0
149,Principal Machine Learning Engineer ,,1,18750.0,18750.0,1,18750.0
150,"Senior Manager, Sales Enablement and Development",,1,18750.0,18750.0,1,18750.0
151,Senior Sales Engineer | Cloud Vulnerability Management,CA,1,18750.0,18750.0,1,18750.0
152,Senior Vice President of Corporate Partnerships,CA,1,18750.0,18750.0,1,18750.0
153,Staff Software Engineer,,1,18750.0,18750.0,3,18750.0
154,White Collar Defense & Investigations Attorney,DC,1,18750.0,18750.0,1,18750.0
155,Staff Software Engineer,CA,2,,18750.0,3,18750.0
156,Senior Principal Technical Program Manager - Platform Engineering,TX,1,18708.0,18708.0,3,56124.0
157,Senior Principal Technical Program Manager - Platform Engineering,GA,1,18708.0,18708.0,3,56124.0
158,Senior Principal Technical Program Manager - Platform Engineering,CA,1,18708.0,18708.0,3,56124.0
159,"Sr. Manager, Head of PMO",CA,1,18687.0,18687.0,1,18687.0
160,Machine Learning Engineer - Notifications,CA,1,18666.0,18666.0,1,18666.0
161,"Senior/Executive Director, Medical Affairs",CA,1,18666.0,18666.0,1,18666.0
162,Aerospace VP of Sales and Marketing,CA,1,18541.0,18541.0,1,18541.0
163,Assistant General Counsel,NY,1,18541.0,18541.0,2,18541.0
164,"Director, Threat & Response",CA,1,18541.0,18541.0,1,18541.0
165,"Senior Software Engineer, Oncology",,1,18541.0,18541.0,1,18541.0
166,Vice President of Sales,,3,18541.0,18541.0,5,18541.0
167,Assistant General Counsel,MO,1,,18541.0,2,18541.0
168,Vice President of Sales,CA,2,,18541.0,5,18541.0
169,Sales Development Specialist,AZ,1,18454.0,18454.0,1,18454.0
170,"Senior Manager, International Tax, GIR - Washington National Tax",CA,1,18425.0,18425.0,1,18425.0
171,Lead Data Scientist,,1,18416.0,18416.0,1,18416.0
172,"Physician - CenterWell - Las Vegas, NV",NV,1,18384.0,18384.0,1,18384.0
173,Senior Client Relationship Manager,WI,1,18362.0,18362.0,6,73448.0
174,Senior Client Relationship Manager,NY,1,18362.0,18362.0,6,73448.0
175,Senior Client Relationship Manager,DC,1,18362.0,18362.0,6,73448.0
176,Senior Client Relationship Manager,CA,3,18362.0,18362.0,6,73448.0
177,Services Specialist Premium,CO,1,18170.0,18170.0,1,18170.0
178,"Senior Manager, Global Brand Marketing",CA,1,18166.0,18166.0,1,18166.0
179,"Senior Manager, Technical Marketing",,1,18083.0,18083.0,1,18083.0
180,Systems Architect - US Federal DoD Army,,1,18079.0,18079.0,1,18079.0
181,(Automotive) Hardware Platform Security and Chip Architect,,1,17916.0,17916.0,1,17916.0
182,Client Partner - Banking Financial Services ,,1,17916.0,17916.0,1,17916.0
183,Senior Project Manager - Construction,CA,1,17916.0,17916.0,1,17916.0
184,Senior Staff/Principal Automotive Functional Safety Architect,,1,17916.0,17916.0,1,17916.0
185,Senior Staff/Principal IC Design Expert / Architect / Engineer,CA,1,17916.0,17916.0,1,17916.0
186,Sr. Python Engineer / Tech Lead,,1,17916.0,17916.0,1,17916.0
187,"Principal Software Engineer (DB tuning, DB schema, Java)",MD,1,17888.0,17888.0,1,17888.0
188,"Associate Director, Global Decision Sciences & Insights-Integrated Insights HIV Pipeline",CA,1,17769.0,17769.0,1,17769.0
189,"Director, Global Strategic Alliances",GA,1,17762.0,17762.0,1,17762.0
190,Privacy Counsel,CA,1,17746.0,17746.0,1,17746.0
191,Director of Solar Engineering,CA,1,17708.0,17708.0,1,17708.0
192,Lifestyle Trust & Estate Associate Position - 1600 Hours,NY,1,17708.0,17708.0,1,17708.0
193,Vice President Finance,CA,1,17708.0,17708.0,2,17708.0
194,Vice President Finance,MD,1,,17708.0,2,17708.0
195,Director Player Engagement,CA,1,17691.0,17691.0,1,17691.0
196,Primary Care Physician,CA,2,17625.0,17625.0,3,17625.0
197,Primary Care Physician,CT,1,,17625.0,3,17625.0
198,Machine Learning Engineer 5,CA,2,17616.0,17616.0,2,17616.0
199,Anaplan Solutions Architect,,1,17600.0,17600.0,1,17600.0
200,Remote - ECM Managing Applications Consultant,PA,1,17600.0,17600.0,1,17600.0
201,Sr. Clinical Project Manager,,1,17600.0,17600.0,1,17600.0
202,Attorney  - Litigation,CA,1,17500.0,17500.0,1,17500.0
203,Member of the Board of Advisors,,2,17500.0,17500.0,2,17500.0
204,Senior Global Financial Controller ,CA,1,17500.0,17500.0,1,17500.0
205,Sr Principal Silicon Validation Engineer,CA,1,17500.0,17500.0,1,17500.0
206,"Global Alliance Director, Salesforce",NY,1,17487.0,17487.0,6,104922.0
207,"Global Alliance Director, Salesforce",MA,1,17487.0,17487.0,6,104922.0
208,"Global Alliance Director, Salesforce",IL,1,17487.0,17487.0,6,104922.0
209,"Global Alliance Director, Salesforce",GA,1,17487.0,17487.0,6,104922.0
210,"Global Alliance Director, Salesforce",CA,1,17487.0,17487.0,6,104922.0
211,"Global Alliance Director, Salesforce",,1,17487.0,17487.0,6,104922.0
212,"Director, Talent Planning & Performance (Remote)",WA,1,17478.0,17478.0,4,52434.0
213,"Director, Talent Planning & Performance (Remote)",TX,1,17478.0,17478.0,4,52434.0
214,"Director, Talent Planning & Performance (Remote)",CA,2,17478.0,17478.0,4,52434.0
215,Family Medicine Physician,CA,2,17416.0,17416.0,2,17416.0
216,"Product Analyst Manager II, Data Science",WA,2,17333.0,17333.0,4,51999.0
217,"Product Analyst Manager II, Data Science",NY,1,17333.0,17333.0,4,51999.0
218,"Product Analyst Manager II, Data Science",CA,1,17333.0,17333.0,4,51999.0
219,"Senior Product Manager, Project Starline",CA,1,17333.0,17333.0,1,17333.0
220,Senior Retail Director (California),CA,1,17266.0,17266.0,1,17266.0
221,Sr. Principal Engineer – Transactional Analytics /C++ (Remote),,1,17250.0,17250.0,1,17250.0
222,"Software Engineer, Machine Learning - Reality Labs",MA,1,17249.0,17249.0,2,34498.0
223,"Software Engineer, Machine Learning - Reality Labs",CA,1,17249.0,17249.0,2,34498.0
224,Principal System Reliability Manager,NJ,1,17127.0,17127.0,1,17127.0
225,"AVP-Internal Audit, Global Asset Management",NC,1,17083.0,17083.0,1,17083.0
226,Director of Internal Tax,NJ,1,17083.0,17083.0,1,17083.0
227,Experienced Associate - Private Capital Markets,NY,1,17083.0,17083.0,1,17083.0
228,Quantitative Researcher,NY,2,17083.0,17083.0,2,17083.0
229,"Sr. Manager, Community Product Management , Amazon Global Communities",WA,1,16979.0,16979.0,1,16979.0
230,Junior Eminent Domain Associate,MN,1,16875.0,16875.0,4,67500.0
231,Junior Eminent Domain Associate,IN,1,16875.0,16875.0,4,67500.0
232,Junior Eminent Domain Associate,IL,1,16875.0,16875.0,4,67500.0
233,Junior Eminent Domain Associate,CO,1,16875.0,16875.0,4,67500.0
234,Vice President of Food & Beverage- Fine Dining,TX,1,16875.0,16875.0,1,16875.0
235,'Niche - Medicaid Proposal Writer': Fully Remote (Work From Home),,1,16800.0,16800.0,1,16800.0
236,Staff Product Manager - Competition,CA,1,16791.0,16791.0,1,16791.0
237,AWS Supply Chain BD,VA,1,16783.0,16783.0,1,16783.0
238,"Principal, AWS Strategy and Business Development",VA,1,16783.0,16783.0,1,16783.0
239,Sales Director [Owner/Operator],WA,1,16765.0,16765.0,83,352065.0
240,Sales Director [Owner/Operator],VA,7,16765.0,16765.0,83,352065.0
241,Sales Director [Owner/Operator],TX,3,16765.0,16765.0,83,352065.0
242,Sales Director [Owner/Operator],TN,1,16765.0,16765.0,83,352065.0
243,Sales Director [Owner/Operator],PA,2,16765.0,16765.0,83,352065.0
244,Sales Director [Owner/Operator],OH,5,16765.0,16765.0,83,352065.0
245,Sales Director [Owner/Operator],NY,4,16765.0,16765.0,83,352065.0
246,Sales Director [Owner/Operator],NJ,4,16765.0,16765.0,83,352065.0
247,Sales Director [Owner/Operator],NH,2,16765.0,16765.0,83,352065.0
248,Sales Director [Owner/Operator],MN,3,16765.0,16765.0,83,352065.0
249,Sales Director [Owner/Operator],MI,3,16765.0,16765.0,83,352065.0
250,Sales Director [Owner/Operator],MD,4,16765.0,16765.0,83,352065.0
251,Sales Director [Owner/Operator],MA,6,16765.0,16765.0,83,352065.0
252,Sales Director [Owner/Operator],IN,3,16765.0,16765.0,83,352065.0
253,Sales Director [Owner/Operator],IL,5,16765.0,16765.0,83,352065.0
254,Sales Director [Owner/Operator],HI,1,16765.0,16765.0,83,352065.0
255,Sales Director [Owner/Operator],GA,2,16765.0,16765.0,83,352065.0
256,Sales Director [Owner/Operator],FL,5,16765.0,16765.0,83,352065.0
257,Sales Director [Owner/Operator],CT,2,16765.0,16765.0,83,352065.0
258,Sales Director [Owner/Operator],CO,1,16765.0,16765.0,83,352065.0
259,Sales Director [Owner/Operator],CA,16,16765.0,16765.0,83,352065.0
260,Sales Director [Owner/Operator],WI,2,,16765.0,83,352065.0
261,Sales Director [Owner/Operator],KS,1,,16765.0,83,352065.0
262,"Senior Manager, Business Intelligence, Amazon Exports",WA,1,16745.0,16745.0,1,16745.0
263,Real Estate National Team Lead,,1,16708.0,16708.0,1,16708.0
264,Growth Sales Architect - Dallas,TX,1,16691.0,16691.0,1,16691.0
265,Growth Sales Architect - Madison/Milwaukee,WI,1,16691.0,16691.0,1,16691.0
266,Growth Sales Architect - US Public Sector - Dallas (1408266),TX,1,16691.0,16691.0,1,16691.0
267,Growth Sales Architect - US Public Sector - San Antonio (1408269),TX,1,16691.0,16691.0,1,16691.0
268,"AI Developer, Trilogy (Remote) - $200,000/year USD",NY,1,16666.0,16666.0,2,33332.0
269,"AI Developer, Trilogy (Remote) - $200,000/year USD",LA,1,16666.0,16666.0,2,33332.0
270,"AI Super Engineer, Trilogy (Remote) - $200,000/year USD",PA,1,16666.0,16666.0,1,16666.0
271,"Artificial Intelligence Engineer, Trilogy (Remote) - $200,000/year USD",NC,1,16666.0,16666.0,1,16666.0
272,Associate Director Clinical Operations,,1,16666.0,16666.0,1,16666.0
273,Audit Director - Quality Assurance,NY,1,16666.0,16666.0,1,16666.0
274,Business Executive,,1,16666.0,16666.0,2,16666.0
275,"Channel Director, GFI Software (Remote) - $200,000/year USD",NY,1,16666.0,16666.0,1,16666.0
276,Chief Operating Officer,,2,16666.0,16666.0,4,16666.0
277,Continuous Improvement Specialist,MS,1,16666.0,16666.0,2,16666.0
278,Credit and Asset Management Vice President,NY,1,16666.0,16666.0,1,16666.0
279,Director Of Procurement,NY,1,16666.0,16666.0,1,16666.0
280,Director of Implementation & Technical Support ,,1,16666.0,16666.0,1,16666.0
281,Employment Benefits/Executive Compensation Attorney,TX,1,16666.0,16666.0,1,16666.0
282,FPGA Software Engineer,NY,1,16666.0,16666.0,1,16666.0
283,FinTech Controller,NY,1,16666.0,16666.0,1,16666.0
284,Head of Client Solutions (Must come from an insurance broker),CA,1,16666.0,16666.0,1,16666.0
285,IAM Solution Architect,,2,16666.0,16666.0,2,16666.0
286,Market Lead - Denver,CO,1,16666.0,16666.0,1,16666.0
287,"REMOTE Systems Software Architect - Rust, C/C++",WA,1,16666.0,16666.0,2,33332.0
288,"REMOTE Systems Software Architect - Rust, C/C++",CA,1,16666.0,16666.0,2,33332.0
289,"Sales Director, Company Solutions",,1,16666.0,16666.0,1,16666.0
290,"Senior Manager, Product Management - Immersive Experience ",,1,16666.0,16666.0,1,16666.0
291,Senior Vice President of Development,DC,1,16666.0,16666.0,1,16666.0
292,"Sr. ASIC Design Engineer - RTL, PCIe, CXL",CA,1,16666.0,16666.0,1,16666.0
293,Staff Mechanical Engineer,,1,16666.0,16666.0,1,16666.0
294,"Technical Lead, Trilogy (Remote) - $200,000/year USD",FL,1,16666.0,16666.0,1,16666.0
295,Business Executive,PA,1,,16666.0,2,16666.0
296,Chief Operating Officer,TX,1,,16666.0,4,16666.0
297,Chief Operating Officer,MA,1,,16666.0,4,16666.0
298,Continuous Improvement Specialist,PA,1,,16666.0,2,16666.0
299,"Sr Manager, IT and Professional Services",NJ,1,16625.0,16625.0,1,16625.0
300,Global Lead Solutions Marketing Manager,NY,1,16583.0,16583.0,1,16583.0
301,"Machine Learning Engineer, Senior",DC,1,16508.0,16508.0,1,16508.0
302,"Staff Software Engineer, Edge Proxy",,1,16507.0,16507.0,1,16507.0
303,Head of Fraud and Loss - USDS,WA,1,16506.0,16506.0,1,16506.0
304,Sr. Software Development Engineer - WholeFood Digital Tech,CA,1,16500.0,16500.0,1,16500.0
305,Senior Applications Developer,NY,1,16499.0,16499.0,1,16499.0
306,Product Design Engineer - Softgoods Engineering,CA,1,16475.0,16475.0,1,16475.0
307,Digital Marketing Lead,TX,1,16458.0,16458.0,1,16458.0
308,"Engineering Manager, Software Engineering",,1,16337.0,16337.0,1,16337.0
309,"Senior Software Engineer, AR",MA,1,16333.0,16333.0,2,32666.0
310,"Senior Software Engineer, AR",CA,1,16333.0,16333.0,2,32666.0
311,Licensed Clinical Social Worker,WA,1,16320.0,16320.0,1,16320.0
312,CPU Micro-architect/RTL Designer (Multiple Locations),TX,1,16291.0,16291.0,2,32582.0
313,CPU Micro-architect/RTL Designer (Multiple Locations),CA,1,16291.0,16291.0,2,32582.0
314,Marine Engineer,NY,2,16287.0,16287.0,4,32574.0
315,Marine Engineer,CT,2,16287.0,16287.0,4,32574.0
316,Client Portfolio Manager,CA,2,16250.0,16250.0,2,16250.0
317,Government Contracts Associate,WA,1,16250.0,16250.0,1,16250.0
318,Head of Creative Strategy,VA,1,16250.0,16250.0,1,16250.0
319,Deposit Product Strategy Manager - Business Banking - Director,NY,1,16104.0,16104.0,1,16104.0
320,"Associate Director Policy, Governance, Audit and Compliance",VA,1,16041.0,16041.0,5,80205.0
321,"Associate Director Policy, Governance, Audit and Compliance",TX,1,16041.0,16041.0,5,80205.0
322,"Associate Director Policy, Governance, Audit and Compliance",NJ,1,16041.0,16041.0,5,80205.0
323,"Associate Director Policy, Governance, Audit and Compliance",GA,1,16041.0,16041.0,5,80205.0
324,"Associate Director Policy, Governance, Audit and Compliance",CO,1,16041.0,16041.0,5,80205.0
325,Associate Director Regulatory Affairs,MA,1,16041.0,16041.0,1,16041.0
326,Chief Systems Engineer,CA,1,16000.0,16000.0,1,16000.0
327,Computing Systems - Fin Tech environment,CA,1,16000.0,16000.0,1,16000.0
328,"Sr. Security Engineer , Robotics Security",TX,1,15983.0,15983.0,1,15983.0
329,"Regional Delivery Lead, Cloud Learning Services",TX,1,15958.0,15958.0,4,63832.0
330,"Regional Delivery Lead, Cloud Learning Services",IL,1,15958.0,15958.0,4,63832.0
331,"Regional Delivery Lead, Cloud Learning Services",GA,1,15958.0,15958.0,4,63832.0
332,"Regional Delivery Lead, Cloud Learning Services",CO,1,15958.0,15958.0,4,63832.0
333,Business Operations Manager,,1,15916.0,15916.0,1,15916.0
334,"Director, Enterprise Risk Management and General Affairs Americas Region (1264)",,1,15916.0,15916.0,1,15916.0
335,Senior Principal Systems Engineer / Section Leader - Active Top Secret Required (On-Site),CA,1,15916.0,15916.0,1,15916.0
336,"Product Manager II, Developer Experience",UT,1,15879.0,15879.0,9,111153.0
337,"Product Manager II, Developer Experience",NY,1,15879.0,15879.0,9,111153.0
338,"Product Manager II, Developer Experience",MA,1,15879.0,15879.0,9,111153.0
339,"Product Manager II, Developer Experience",GA,1,15879.0,15879.0,9,111153.0
340,"Product Manager II, Developer Experience",FL,1,15879.0,15879.0,9,111153.0
341,"Product Manager II, Developer Experience",AZ,1,15879.0,15879.0,9,111153.0
342,"Product Manager II, Developer Experience",,1,15879.0,15879.0,9,111153.0
