,company_name,title,med_salary,formatted_work_type,formatted_experience_level,location,remote_allowed,applies,views
48,ROR Partners,Principal Data Engineer,15208,Full-time,N/A,United States,True,123,271
49,Amazon Web Services (AWS),"Senior ML Specialist Solutions Architect, ML Service Solution Architects",15079,Full-time,Mid-Senior level,"Santa Clara, CA",False,1,12
50,Rabobank,"VP, Credit Analyst",15000,Full-time,Mid-Senior level,"Chicago, IL",False,22,160
51,Amazon,"Sr. Product Manager-Tech, Workforce Intelligence",14841,Full-time,Mid-Senior level,"Arlington, VA",False,23,103
52,Petco,"Analyst, Vendor Analytics",14520,Full-time,Entry level,"San Diego, CA",False,25,87
53,Takeda,"Associate Director, Advanced Analytics (Oncology)",14520,Full-time,Mid-Senior level,"Cambridge, MA",False,6,43
54,USDM Life Sciences,Technical Analyst - Siemens Desigo,14400,Contract,N/A,United States,True,1,9
55,Lyft,Senior Data Scientist - Algorithms,14250,Full-time,Mid-Senior level,"Seattle, WA",False,117,514
56,VARITE INC,Principal Data Architect,14166,Full-time,Mid-Senior level,"Oakland, CA",False,0,26
57,Prudential Financial,"Director, Business Intelligence",14166,Full-time,Director,"Newark, NJ",False,19,109
58,aquesst,Senior Data Engineer,14166,Full-time,Mid-Senior level,Atlanta Metropolitan Area,False,76,176
59,Coupang,Senior Cyber Security Analyst,14080,Full-time,Mid-Senior level,"Seattle, WA",False,0,0
60,Community.com,Senior Data Engineer,13750,Full-time,N/A,United States,True,169,323
61,Amazon,"People Analytics Manager , People Analytics",13620,Full-time,Mid-Senior level,"Nashville, TN",False,10,66
62,"Paradigm Group, Inc.",Sr. SAP SCM Analyst ( PP / MM )    ,13541,Full-time,Mid-Senior level,"Houston, TX",False,14,57
63,Robert Walters,"Vice President of Quantitative Analytics, Market Risk",13541,Full-time,Mid-Senior level,New York City Metropolitan Area,False,35,139
64,EnergyHub,Staff Data Engineer,13541,Full-time,Mid-Senior level,United States,True,0,100
65,"Mulligan Funding, LLC","Manager, Strategic Analytics & Business Intelligence",13333,Full-time,Mid-Senior level,San Diego Metropolitan Area,False,19,103
66,Publix Super Markets,Data Architect – Enterprise Architecture Team-REMOTE,13138,Full-time,Mid-Senior level,"Florida, United States",True,32,291
67,Verily,Senior Workday Integrations & Prism Analyst,13125,Full-time,Mid-Senior level,"Dallas, TX",False,4,39
68,Verily,"Senior Workday Business Systems Analyst, Absence/Talent & Performance",13125,Full-time,Mid-Senior level,"Dallas, TX",False,4,47
69,Insight Global,Business Data Analyst,13120,Full-time,Mid-Senior level,United States,True,206,974
70,Irvine Technology Corporation,Data Governance Specialist,13120,Contract,Mid-Senior level,"New York, United States",True,80,311
71,Virtua Pharma Technology,Business System Analyst (Clinical Operations Systems),12800,Contract,N/A,United States,True,15,55
72,The Mom Project,"Business Systems Analyst, Salesforce",12800,Contract,Mid-Senior level,"Sunnyvale, CA",False,14,133
73,Amazon,"Sr Business Intelligence Engineer III, Strategies Labor BI",12795,Full-time,Mid-Senior level,"Seattle, WA",False,6,34
74,Booz Allen Hamilton,Analytical Epidemiologist,12720,Full-time,N/A,"Atlanta, GA",True,13,197
75,TEEMA,Lead Development and Analytics Engineer,12708,Full-time,N/A,"Pennsylvania, United States",True,22,47
76,24 Seven Talent,Frontend Web Developer (Machine Learning),12640,Contract,Mid-Senior level,United States,True,223,472
77,Capgemini,Solution Architect- Data Engineering Any Cloud must have Databricks,12500,Full-time,Mid-Senior level,United States,True,67,181
78,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,168
79,NSG - Real Estate & Construction (Noor Staffing Group),Lead Superintendent - Data Center/Mission Critical,12500,Full-time,Mid-Senior level,Dallas-Fort Worth Metroplex,False,7,29
80,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,205
81,Insight Global,Data Analytics Manager,12500,Full-time,Mid-Senior level,"New York, NY",False,67,196
82,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,212
83,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,241
84,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,203
85,Bank of America,"Assistant Vice President, Quantitative Finance Analyst",12500,Full-time,Mid-Senior level,"Jersey City, NJ",False,10,65
86,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,235
87,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,227
88,Another Source,Senior Assessment and Evaluation Analyst,12500,Full-time,Mid-Senior level,"Palo Alto, CA",False,2,68
89,Zest AI,"Lead Backend Engineer (Typescript/AWS) - SaaS, FinTech, AI - Remote or Hybrid",12500,Full-time,Mid-Senior level,United States,True,11,32
90,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,228
91,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,152
92,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,3,4
93,Airdrop,Investment Analyst,12500,Full-time,N/A,New York City Metropolitan Area,True,0,0
94,ConnectiCare,Healthcare Business Data Leader,12500,Full-time,Mid-Senior level,"Connecticut, United States",True,84,375
95,Roth Staffing,Project Manager (Data Center Move) ,12480,Contract,Mid-Senior level,"Newport Beach, CA",True,0,337
96,Strategic Staffing Solutions,Information Security Analyst,12320,Contract,Associate,"Charlotte, NC",False,0,216
97,Geomagical Labs,Data Analyst - Remote / Contract,12320,Contract,Associate,"Palo Alto, CA",True,300,1138
98,Google,"Cloud Customer Engineer, Data Management, Google Cloud",12291,Full-time,N/A,"Reston, VA",False,0,28
99,Google,"Cloud Customer Engineer, Data Management, Google Cloud",12291,Full-time,N/A,"Atlanta, GA",False,2,40
100,Google,"Cloud Customer Engineer, Data Management, Google Cloud",12291,Full-time,N/A,"New York, NY",False,1,24
101,XPO,"Senior Manager, Cost Model Analytics - Remote",12170,Full-time,N/A,"Atlanta, GA",True,21,92
102,Honeywell,ISC Analytics Manager,12083,Full-time,Mid-Senior level,"South Bend, IN",False,0,1
103,Honeywell,ISC Analytics Manager,12083,Full-time,Mid-Senior level,"Greer, SC",False,0,1
104,Honeywell,ISC Analytics Manager,12083,Full-time,Mid-Senior level,"Torrance, CA",False,0,0
105,Honeywell,ISC Analytics Manager,12083,Full-time,Mid-Senior level,"Clearwater, FL",False,1,3
106,Honeywell,ISC Analytics Manager,12083,Full-time,Mid-Senior level,"Minneapolis, MN",False,0,0
107,Honeywell,ISC Analytics Manager,12083,Full-time,Mid-Senior level,"Redmond, WA",False,0,11
108,"Milestone Technologies, Inc.",Data Scientist/ Product Analyst ,12000,Contract,Mid-Senior level,"San Francisco, CA",False,7,37
109,PRI Technology,Senior Revenue Growth Management Category Analyst ,12000,Contract,Mid-Senior level,"Franklin, TN",False,3,83
110,Juniper Square,Information Security Analyst,11941,Full-time,Mid-Senior level,"Chicago, IL",True,76,350
111,Juniper Square,Information Security Analyst,11941,Full-time,Mid-Senior level,"Dallas, TX",True,147,488
112,Juniper Square,Information Security Analyst,11941,Full-time,Mid-Senior level,"New York, NY",True,131,516
113,Aimic Inc,"Data Governance Lead in Health Care (Only Local to MD, VA & DC States)",11875,Full-time,Mid-Senior level,"Washington, DC",True,0,23
114,Idaho National Laboratory,Transportation Data Quality Assurance Analyst,11869,Full-time,Entry level,"Idaho Falls, ID",False,22,82
115,Google,"Data Engineer, Google Nest",11833,Full-time,N/A,"Mountain View, CA",False,278,945
116,Insight Global,Data Analytics Manager - Strategic Sourcing,11666,Full-time,Mid-Senior level,"Manhattan, NY",False,22,93
117,Insight Global,Dynamic 365 Functional Analyst,11666,Full-time,Mid-Senior level,"Houston, TX",True,0,114
118,Edelman,"Vice President, AI Platform Evaluation and Offering Development Lead",11625,Full-time,Executive,"New York, NY",False,1,14
119,Motion Recruitment,Business Intelligence Analyst,11520,Contract,Associate,"Mountain View, CA",False,110,294
120,Motion Recruitment,Business Intelligence Analyst,11520,Contract,Associate,"San Diego, CA",False,101,284
121,"Pinnacle Group, Inc.",Data Analyst ,11360,Contract,Mid-Senior level,"Manhattan, NY",False,208,514
122,Idaho National Laboratory,Data Scientist,11284,Full-time,Entry level,"Idaho Falls, ID",False,16,89
123,EdgeLink, Infor CloudSuite ERP System Analyst ,11250,Full-time,Mid-Senior level,"Colorado, United States",True,28,137
124,Robert Half,Business Intelligence Lead,11250,Full-time,Mid-Senior level,"Sugar Land, TX",False,77,226
125,Lyft,"Data Analyst, Real-Time Supply Management (Hybrid)",11250,Full-time,N/A,"San Francisco, CA",False,347,1038
126,Phreesia,"Senior Product Manager, Data Products",11250,Full-time,Mid-Senior level,United States,True,54,293
127,Invitation Homes,Data Engineer IV,11234,Full-time,Mid-Senior level,"Dallas, TX",False,9,29
128,Insight Global,Data Steward,11200,Full-time,Mid-Senior level,"Charlotte, NC",True,0,80
129,Akkodis,Data Analyst,11200,Contract,Mid-Senior level,"Pittsburgh, PA",False,100,271
130,Eliassen Group,Treasury ALM Analyst,11200,Contract,Mid-Senior level,San Francisco Bay Area,True,14,62
131,Booz Allen Hamilton,Industrial Base Outreach Analyst,11158,Full-time,N/A,"Arlington, VA",False,0,13
132,Booz Allen Hamilton,"Operations Research Analyst, Senior",11158,Full-time,N/A,"Colorado Springs, CO",False,0,17
133,Booz Allen Hamilton,Cyber Threat Intelligence Analyst,11158,Full-time,N/A,"Fort Bragg, North Carolina, United States",False,1,18
134,Blueprint Intergovernmental Agency,"Deputy Director, Business Vitality and Intelligence",11075,Full-time,N/A,"Tallahassee, FL",False,1,30
135,"Multi Media, LLC",Product Data Analyst,11041,Full-time,Mid-Senior level,United States,True,157,297
136,Franklin Fitch,Senior Financial Business Intelligence Analyst,11041,Full-time,Mid-Senior level,New York City Metropolitan Area,False,53,111
137,Links Technology Solutions,Sr Database Design Analyst ,11040,Contract,Mid-Senior level,United States,True,102,148
138,Eliassen Group,Senior Financial Analyst,11040,Contract,Mid-Senior level,San Francisco Bay Area,True,15,50
139,Amazon,Business Intelligence Engineer,11025,Full-time,N/A,"Bellevue, WA",False,59,325
140,Cambia Health Solutions,Machine Learning Scientist I,11020,Full-time,Mid-Senior level,"Portland, OR",False,31,102
141,Cambia Health Solutions,Machine Learning Scientist I,11020,Full-time,Mid-Senior level,"Utah, United States",False,32,95
142,lululemon,"Senior Business Analyst, People Systems (Talent & Learning) * Hybrid * Seattle",11016,Full-time,Mid-Senior level,"Seattle, WA",False,36,282
143,Insight Global,Sr Data Engineer,10920,Contract,Mid-Senior level,"Boston, MA",True,135,289
144,Elevate Digital,Senior Data Engineer,10833,Part-time,Mid-Senior level,"Charlotte, NC",False,0,132
145,Wright Technical Services,Senior SAP FI/CO Business Analyst,10833,Full-time,Mid-Senior level,Cincinnati Metropolitan Area,False,30,72
146,Control Risks,Hardware Security Analyst,10833,Full-time,Mid-Senior level,"Fremont, CA",False,24,99
147,LinQuest,Data Scientist / Operations Research Analyst,10833,Full-time,Entry level,"Colorado Springs, CO",False,41,215
148,Treasury Wine Estates,HRIS Analyst,10750,Full-time,Associate,"Napa, CA",False,3,15
149,US Tech Solutions,Business Analyst V,10720,Contract,Mid-Senior level,"San Francisco, CA",False,99,267
150,Eclaro,Master Data Specialist,10720,Contract,Associate,"Ayer, MA",False,8,59
151,FleishmanHillard,"Research Director/Vice President - Insights + Analytics, True Global Intelligence (Hybrid)",10720,Full-time,Executive,"St Louis, MO",False,2,19
152,Flexton Inc.,Sr. Data Engineer,10720,Contract,Mid-Senior level,"Austin, TX",False,39,106
153,"Milestone Technologies, Inc.",Oracle Business Intelligence Analyst,10683,Full-time,Mid-Senior level,"Long Beach, CA",False,17,119
154,Robert Half,IT Data Warehouse Analyst,10416,Full-time,Mid-Senior level,"Houston, TX",False,75,182
155,Premier International,"Manager, Oracle Data Conversion Lead",10416,Full-time,N/A,"Chicago, IL",False,11,78
156,Dexian,Google Analytics Analyst,10416,Full-time,Mid-Senior level,"McLean, VA",False,91,239
157,Comet,ML Ops Engineer,10416,Full-time,Mid-Senior level,United States,True,73,178
158,Robert Half,Senior Treasury Analyst,10416,Full-time,Mid-Senior level,"Pleasanton, CA",True,24,63
159,Piper Companies,Data Analytics Solutions Engineer,10416,Full-time,Entry level,United States,True,0,0
160,Staffingine LLC,Salesforce Business Analyst (Service Focused),10416,Full-time,N/A,"Sunnyvale, CA",False,11,19
161,Experis,Sr Business System Analyst - East Coast,10400,Contract,Mid-Senior level,"Princeton, NJ",False,0,0
162,LeadStack Inc.,Azure Data Engineer,10400,Contract,Mid-Senior level,United States,True,386,906
163,Rangam,Master Data Specialist,10400,Contract,Mid-Senior level,"Ayer, MA",False,7,66
164,Harnham,Sr. BI Analyst (Video Streaming),10400,Contract,Mid-Senior level,"Los Angeles, CA",False,137,302
165,Franklin Fitch,Senior Financial Business Intelligence Analyst,10208,Full-time,Mid-Senior level,Atlanta Metropolitan Area,False,36,75
166,B&H Photo Video,Information Technology Security Analyst,10208,Full-time,Mid-Senior level,New York City Metropolitan Area,False,75,273
167,Publicis Sapient,Senior Data Engineer (Public Sector),10125,Full-time,Mid-Senior level,"Arlington, VA",True,1,14
168,Insight Global,Data Engineer,10080,Contract,Mid-Senior level,United States,True,255,568
169,"TSR Consulting Services, Inc.",Master Data Specialist- W2 only ,10080,Contract,Mid-Senior level,"Ayer, MA",False,6,49
170,"Norton Staffing, Inc.",Sr. IT Business Analyst (Agile),10080,Full-time,Mid-Senior level,"Chesterfield, MO",False,0,0
171,Robert Half,Senior Financial Analyst,10000,Full-time,Mid-Senior level,"Orange County, CA",False,27,84
172,LHH,Information Technology Security Analyst,10000,Full-time,Mid-Senior level,"Camarillo, CA",False,9,40
173,Mastech Digital,Agile Tools Analyst & Administrator,10000,Full-time,Mid-Senior level,"Dallas, TX",False,17,114
174,Booz Allen Hamilton,Data Scientist,9962,Full-time,N/A,"Chantilly, VA",False,8,47
175,Booz Allen Hamilton,Data Scientist,9962,Full-time,N/A,"McLean, VA",False,4,49
176,Booz Allen Hamilton,Data Scientist,9958,Full-time,N/A,"Norfolk, VA",False,7,59
177,Booz Allen Hamilton,Cybersecurity Policy and Compliance Analyst,9958,Full-time,N/A,"King George, VA",False,2,25
178,Booz Allen Hamilton,"IT Business Analyst, Senior",9958,Full-time,N/A,"Oak Ridge, TN",True,10,50
179,R&B Services Inc.,"IT Security Analyst "" lOCAL RICHMOND CANDIDATES ONLY""",9920,Contract,N/A,"Richmond, VA",False,5,22
180,KORE1,HR Sr Business Systems Analyst,9920,Contract,Mid-Senior level,"California, United States",True,13,26
181,Publicis Sapient,Senior Data Engineer,9791,Full-time,Mid-Senior level,"Virginia, United States",False,25,86
182,Publicis Sapient,Senior Data Engineer,9791,Full-time,Mid-Senior level,"Cleveland, OH",False,21,86
183,Publicis Sapient,Senior Data Engineer,9791,Full-time,Mid-Senior level,"Miami, FL",False,26,92
184,Publicis Sapient,Senior Data Engineer,9791,Full-time,Mid-Senior level,"Chicago, IL",False,22,99
185,Publicis Sapient,Senior Data Engineer,9791,Full-time,Mid-Senior level,"Atlanta, GA",False,27,116
186,Dynamite Jobs,Senior Data Analyst,9791,Full-time,N/A,United States,True,86,462
187,Piper Companies,Cyber Security Analyst - Long Term Opportunity,9791,Full-time,Entry level,"Springfield, VA",False,0,0
188,T. Rowe Price,Marketing Insights and Data Analytics Manager,9791,Full-time,Mid-Senior level,"Owings Mills, MD",False,13,121
189,TalentPlug LLC,Client Analytics Manager,9791,Full-time,Mid-Senior level,United States,True,17,57
190,Blackbaud,Senior Threat Detection Analyst,9779,Full-time,Mid-Senior level,"New Hampshire, United States",True,0,3
191,Blackbaud,Senior Threat Detection Analyst,9779,Full-time,Mid-Senior level,"North Carolina, United States",True,0,6
192,Blackbaud,Senior Threat Detection Analyst,9779,Full-time,Mid-Senior level,"Michigan, United States",True,0,9
193,Blackbaud,Senior Threat Detection Analyst,9779,Full-time,Mid-Senior level,"South Dakota, United States",True,0,4
194,Blackbaud,Senior Threat Detection Analyst,9779,Full-time,Mid-Senior level,"Indiana, United States",True,0,3
195,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Orlando, FL",True,2,31
196,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Cincinnati, OH",True,1,13
197,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Jacksonville, FL",True,3,15
198,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Raleigh, NC",True,3,19
199,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Los Angeles, CA",True,5,20
200,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Tampa, FL",True,3,26
201,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Chicago, IL",True,5,30
202,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Seattle, WA",True,6,28
203,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Houston, TX",True,5,32
204,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"San Antonio, TX",True,6,17
205,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Atlanta, GA",True,4,26
206,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Austin, TX",True,4,27
207,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"Philadelphia, PA",True,2,26
208,Western Governors University,Senior Compensation Analyst,9729,Full-time,Mid-Senior level,"St Louis, MO",True,2,14
209,Holland & Hart LLP,Applications Analyst III,9710,Full-time,Associate,"Salt Lake City, UT",False,3,35
210,Holland & Hart LLP,Applications Analyst III,9710,Full-time,Associate,"Boulder, CO",False,0,27
211,HirePlus Infotech LLC,Data Modeler,9600,Contract,N/A,"Chicago, IL",False,13,48
212,"Milestone Technologies, Inc.",ServiceNow CMDB Business Analyst,9583,Full-time,Mid-Senior level,"Seattle, WA",False,4,39
213,New York Life Insurance Company,Senior Data Warehouse Developer,9583,Full-time,N/A,"Tampa, FL",False,0,0
214,Ancestry,"Sr. Analyst, Marketing Analytics",9583,Full-time,Mid-Senior level,"San Francisco, CA",False,4,14
215,Pinpoint Talent,Financial Analyst,9583,Full-time,Associate,"Oakland, CA",False,71,160
216,Davis Polk & Wardwell LLP,"RPA Developer, Business Operations & Data Analytics",9583,Full-time,Mid-Senior level,New York City Metropolitan Area,False,77,196
217,ADP,Senior Accessibility Analyst,9558,Full-time,N/A,"Forest Home, NY",False,0,3
218,TIAA,Senior Systems Analyst,9437,Full-time,N/A,"New York, NY",False,0,0
219,Edelman,AI Communications Lead,9416,Full-time,Mid-Senior level,"New York, NY",False,10,34
220,aquesst,Senior Application Analyst,9375,Full-time,Mid-Senior level,Atlanta Metropolitan Area,False,4,9
221,The General®,Product Analytics Lead(Open to Remote),9354,Full-time,Mid-Senior level,"Nashville, TN",True,15,64
222,B&H Photo Video,Business System Analyst,9208,Full-time,Mid-Senior level,New York City Metropolitan Area,False,102,193
223,Talent Acquisitions Group Inc - Executive Search Firm,Financial Planning Analyst,9166,Full-time,Mid-Senior level,"Newark, NJ",False,42,109
224,UL Solutions,Strategy & Portfolio Innovation Analyst,9166,Full-time,N/A,"Triangle, NC",False,6,32
225,UL Solutions,Strategy & Portfolio Innovation Analyst,9166,Full-time,N/A,"Brea, CA",False,8,33
226,UL Solutions,Strategy & Portfolio Innovation Analyst,9166,Full-time,N/A,"Chicago, IL",False,8,60
227,UL Solutions,Strategy & Portfolio Innovation Analyst,9166,Full-time,N/A,"Northbrook, IL",False,4,30
228,Perennial Resources International,Information Security Analyst,9166,Full-time,Associate,"New York, NY",False,60,116
229,Turn2Partners,Senior Financial Analyst,9166,Full-time,Mid-Senior level,"Arlington, VA",False,35,75
230,"Frontdoor, Inc.",Senior Data Analyst,9125,Full-time,Mid-Senior level,"Memphis, TN",False,93,197
231,University of Kentucky,Evaluation and Data Director,9094,Full-time,Director,"Lexington, KY",False,3,41
232,Petco,"Sr. Analyst, Analytics",9075,Full-time,Mid-Senior level,"San Diego, CA",False,164,309
233,Queen Consulting Group,SQL Analyst,8960,Contract,Mid-Senior level,"Augusta, ME",False,68,196
234,Ace Hardware Corporation,Software Engineering Analyst II,8933,Full-time,Entry level,"Oak Brook, IL",False,8,32
235,WestEd,Database Analyst,8901,Full-time,Associate,"San Francisco, CA",False,7,82
236,Prosum,UX/UI Designer - Data Intelligence ,8800,Contract,Mid-Senior level,"Los Angeles, CA",True,154,386
237,USCTEK,Big Data Software Engineer W2 ONLY,8800,Contract,N/A,"Dearborn, MI",False,6,20
238,Vaco,EDI Business Analyst,8750,Full-time,Mid-Senior level,"Dallas, TX",False,66,149
239,Tatum by Randstad,Financial Analyst,8750,Full-time,Director,"Plano, TX",False,97,184
240,Rahi,Senior Financial Analyst,8750,Full-time,Mid-Senior level,"Fremont, CA",False,46,130
241,Wyze,Senior Finance Analyst,8750,Full-time,N/A,"Kirkland, WA",False,25,139
242,KTek Resourcing,Business Analyst,8750,Full-time,Mid-Senior level,"Chicago, IL",False,0,161
243,Turn2Partners,"Senior Financial Analyst, FP&A ",8750,Full-time,Director,"Arlington, VA",False,39,97
244,Association of Universities for Research in Astronomy,Scientific Programmer/Data Calibration Engineer,8666,Full-time,Mid-Senior level,"Boulder, CO",False,0,20
245,Apex Systems,Security Analyst,8640,Contract,Mid-Senior level,"Orlando, FL",False,82,229
246,Expedia Group,Media Insights & Planning Analyst (US - Contract)    ,8640,Contract,Associate,"Seattle, WA",False,21,122
247,Defense Company,Senior Program Financial Analyst,8541,Full-time,Executive,"San Diego, CA",False,14,83
248,Robert Half,Senior Accounting Analyst,8541,Full-time,Associate,"San Ramon, CA",False,19,66
249,Leeds Professional Resources,Senior SEC Reporting Analyst – Remote Position ,8541,Full-time,Associate,"Florida, United States",True,74,178
250,Idaho National Laboratory,Export Compliance Analyst,8532,Full-time,Mid-Senior level,"Idaho Falls, ID",False,0,5
251,Queen Consulting Group,Senior Business Analyst (Production Support),8458,Full-time,Mid-Senior level,"New Haven, CT",True,140,272
252,Amazon,"Business Analyst, Relay Mobile",8441,Full-time,N/A,"Bellevue, WA",False,50,323
253,LTIMindtree,Big Data Developer,8333,Full-time,Mid-Senior level,"Atlanta, GA",False,64,209
254,Delta Dallas,Benefits Analyst-Brokerage,8333,Full-time,Associate,"Dallas, TX",False,12,79
255,Insight Recruiting,Analyst Financial Advisory,8333,Full-time,Associate,San Francisco Bay Area,False,24,55
