,formatted_experience_level,state,count,med_salary
165,Director,NV,6,8875.0
166,Entry level,WY,6,3680.0
167,Executive,NJ,6,5126.0
168,Internship,FL,6,1920.0
169,Internship,MO,6,6240.0
170,Internship,PA,6,
171,Associate,AR,5,4791.0
172,Associate,IA,5,5440.0
173,Associate,KS,5,3200.0
174,Associate,NE,5,3840.0
175,Director,OR,5,13515.0
176,Director,UT,5,12708.0
177,Entry level,ME,5,
178,Entry level,MT,5,3040.0
179,Executive,IL,5,13833.0
180,Executive,MI,5,16666.0
181,Internship,WI,5,3520.0
182,Mid-Senior level,AK,5,7840.0
183,Associate,DE,4,
184,Associate,UT,4,9710.0
185,Director,ID,4,6458.0
186,Director,KS,4,8958.0
187,Director,NH,4,7575.0
188,Executive,FL,4,12083.0
189,Executive,MD,4,6250.0
190,Executive,NC,4,11020.0
191,Executive,OH,4,5208.0
192,Executive,TN,4,6875.0
193,Internship,NJ,4,6000.0
194,Internship,TN,4,5920.0
195,Associate,ID,3,7840.0
196,Executive,DC,3,8333.0
197,Executive,GA,3,14666.0
198,Executive,MA,3,
199,Internship,DC,3,
200,Internship,IN,3,4640.0
201,Internship,SC,3,2240.0
202,Internship,WA,3,3840.0
203,Mid-Senior level,VT,3,
204,Associate,HI,2,
205,Director,IA,2,
206,Director,LA,2,16666.0
207,Director,NE,2,
208,Executive,AL,2,
209,Executive,CO,2,15750.0
210,Executive,KS,2,7333.0
211,Executive,MN,2,33333.0
212,Executive,NV,2,15021.0
213,Executive,VA,2,
214,Executive,WA,2,6075.0
215,Executive,WI,2,5958.0
216,Executive,WV,2,
217,Internship,AZ,2,
218,Internship,CT,2,
219,Internship,KS,2,
220,Internship,KY,2,4640.0
221,Internship,MD,2,
222,Internship,OK,2,
223,Internship,UT,2,
224,Internship,VA,2,
225,Associate,MS,1,5833.0
226,Associate,ND,1,
227,Associate,NM,1,2400.0
228,Associate,RI,1,
229,Associate,VT,1,
230,Associate,WY,1,
231,Director,AL,1,
232,Director,AR,1,7291.0
233,Director,DE,1,
234,Director,HI,1,16765.0
235,Director,ME,1,
236,Director,MS,1,
237,Director,NM,1,
238,Director,RI,1,
239,Director,VT,1,
240,Director,WV,1,
241,Entry level,VT,1,
242,Executive,AZ,1,66666.0
243,Executive,CT,1,
244,Executive,KY,1,
245,Executive,LA,1,
246,Executive,MO,1,10720.0
247,Executive,SC,1,
248,Internship,AL,1,
249,Internship,CO,1,
250,Internship,DE,1,
251,Internship,IA,1,3360.0
252,Internship,LA,1,
253,Internship,MA,1,
254,Internship,MN,1,
255,Internship,NE,1,
256,Internship,NH,1,
257,Internship,RI,1,6720.0
